Metropolitan Core Based Statistical Area FIPS Code,Household-type of living quarters,Household-own/rent living quarters,Household-total family income in past 12 months,Demographics-highest level of school completed,Labor Force-employment status,Demographics-sex,Demographics-marital status,Weight-composited final weight,Household-total # of members,Weight-family,Weight-longitudinal weight,Weight-outgoing rotation weight,Weight-second stage weight (rake 6 final step weight),Year,Month
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More",Some College But No Degree,Employed-At Work,Male,Married-Spouse Absent,4888.6243,4,4906.2802,7271.7990,0.0000,4906.2802,2023,jan
"Prescott, AZ","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Male,Widowed,4601.8447,2,4634.4312,6935.0091,0.0000,4634.4312,2022,jan
"Lafayette-West Lafayette, IN","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999","Bachelor's Degree(ex:ba,ab,bs)",Employed-Absent,Female,Married - Spouse Present,2689.8828,2,2710.0427,4056.5680,0.0000,2710.0427,2022,jan
"Los Angeles-Long Beach-Anaheim, CA","House, Apartment, Flat",Not in Universe,"75,000 To 99,999","Bachelor's Degree(ex:ba,ab,bs)",Retired-Not In Labor Force,Female,Married - Spouse Present,3826.0739,3,3884.2651,5767.8269,0.0000,3884.2651,2024,jan
"Pittsburgh, PA","House, Apartment, Flat",Not in Universe,"60,000 To 74,999","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Male,Married - Spouse Present,4093.8862,3,3863.9616,0.0000,0.0000,4038.3223,2024,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999",Not in Universe,Not in Universe,Male,Not in Universe,0.0000,8,1114.6583,0.0000,0.0000,1114.6583,2022,jan
"Evansville, IN-KY","House, Apartment, Flat",Not in Universe,"100,000 To 149,999","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Male,Married - Spouse Present,2939.8391,2,3335.7063,4475.3158,11577.6509,3019.4879,2024,jan
"Springfield, MA","House, Apartment, Flat",Not in Universe,"5,000 To 7,499",12th Grade No Diploma,Other-Not In Labor Force,Female,Never Married,2923.2369,2,2850.6370,4232.9708,0.0000,2850.6370,2024,jan
"Burlington-South Burlington, VT","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Female,Married - Spouse Present,519.9202,4,526.1181,0.0000,0.0000,526.1181,2022,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"40,000 To 49,999",High School Grad-Diploma Or Equiv (ged),Retired-Not In Labor Force,Male,Married - Spouse Present,372.4069,2,452.1486,557.4684,0.0000,372.5372,2022,jan
"Jackson, MS","House, Apartment, Flat",Rented for cash,"25,000 To 29,999",High School Grad-Diploma Or Equiv (ged),Other-Not In Labor Force,Female,Never Married,2413.9108,6,2258.5657,3350.0830,0.0000,2258.5657,2023,jan
"Raleigh, NC","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More",Not in Universe,Not in Universe,Female,Not in Universe,0.0000,4,3420.4947,0.0000,0.0000,3420.4947,2022,jan
"Baton Rouge, LA","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"40,000 To 49,999",High School Grad-Diploma Or Equiv (ged),Other-Not In Labor Force,Female,Married - Spouse Present,2175.5455,5,2203.2985,0.0000,0.0000,2203.2985,2022,jan
"San Francisco-Oakland-Hayward, CA","House, Apartment, Flat",Not in Universe,"40,000 To 49,999",Not in Universe,Not in Universe,Female,Not in Universe,0.0000,8,3434.0393,0.0000,0.0000,3434.0393,2024,jan
"St. Louis, MO-IL","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"20,000 To 24,999",High School Grad-Diploma Or Equiv (ged),Retired-Not In Labor Force,Female,Widowed,3868.2486,1,3921.5935,0.0000,0.0000,3921.5935,2022,jan
0,"House, Apartment, Flat",Not in Universe,"15,000 To 19,999",Associate Deg.-Academic Program,Other-Not In Labor Force,Female,Married - Spouse Present,641.1167,5,636.1104,944.5737,0.0000,636.1104,2024,jan
"Provo-Orem, UT","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More",Not in Universe,Not in Universe,Female,Not in Universe,0.0000,4,2144.8291,0.0000,0.0000,2144.8291,2022,jan
"Lafayette, LA","House, Apartment, Flat",Rented for cash,"35,000 To 39,999",Not in Universe,Not in Universe,Male,Not in Universe,0.0000,4,2258.4069,0.0000,0.0000,2258.4069,2023,jan
"Seattle-Tacoma-Bellevue, WA","House, Apartment, Flat",Not in Universe,"150,000 or More",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Female,Married - Spouse Present,4926.3307,5,4976.9267,7390.3430,0.0000,4976.9267,2024,jan
"Dover, DE","House, Apartment, Flat",Not in Universe,"75,000 To 99,999","Bachelor's Degree(ex:ba,ab,bs)",Employed-Absent,Male,Never Married,1139.1156,1,1135.3122,0.0000,0.0000,1135.3122,2024,jan
"Medford, OR","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"Less Than $5,000",High School Grad-Diploma Or Equiv (ged),Retired-Not In Labor Force,Female,Married - Spouse Present,2177.7545,2,2146.8586,3184.3903,8709.9032,2146.8586,2023,jan
"Raleigh, NC","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"20,000 To 24,999","Bachelor's Degree(ex:ba,ab,bs)",Retired-Not In Labor Force,Male,Never Married,3787.1410,1,3798.9382,5630.5620,0.0000,3798.9382,2023,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"Less Than $5,000",Associate Degree-Occupational/Vocationl,Retired-Not In Labor Force,Female,Married - Spouse Present,1264.2620,2,1283.5018,1903.7913,0.0000,1283.5018,2023,jan
"Providence-Warwick, RI-MA","House, Apartment, Flat",Not in Universe,"75,000 To 99,999",Not in Universe,Not in Universe,Female,Not in Universe,0.0000,4,890.0064,0.0000,0.0000,890.0064,2024,jan
"Las Vegas-Henderson-Paradise, NV","House, Apartment, Flat",Rented for cash,"50,000 To 59,999",Some College But No Degree,Employed-At Work,Female,Married - Spouse Present,3457.1098,3,3475.4616,5155.0792,0.0000,3475.4616,2023,jan
0,"House, Apartment, Flat",Not in Universe,"75,000 To 99,999","MASTER'S DEGREE(EX:MA,MS,MEng,MEd,MSW)",Retired-Not In Labor Force,Male,Married - Spouse Present,1008.6238,2,945.3409,1532.1233,0.0000,1033.7209,2024,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"7,500 To 9,999",Not in Universe,Not in Universe,Female,Not in Universe,0.0000,3,2782.7264,0.0000,0.0000,2782.7264,2022,jan
0,"House, Apartment, Flat",Rented for cash,"20,000 To 24,999",Some College But No Degree,Disabled-Not In Labor Force,Female,Never Married,381.2319,3,379.5249,0.0000,0.0000,379.5249,2022,jan
"Lafayette-West Lafayette, IN","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999","DOCTORATE DEGREE(EX:PhD,EdD)",Other-Not In Labor Force,Female,Married - Spouse Present,4222.0595,3,3971.3744,5944.6114,0.0000,3971.3744,2022,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"75,000 To 99,999",Associate Deg.-Academic Program,Retired-Not In Labor Force,Female,Married - Spouse Present,3820.1648,2,3830.4610,5681.6423,15278.7035,3830.4610,2023,jan
"New York-Newark-Jersey City, NY-NJ-PA","House, Apartment, Flat",Not in Universe,"150,000 or More","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Male,Never Married,5301.1528,1,5424.1825,8039.4196,0.0000,5424.1825,2024,jan
"Minneapolis-St. Paul-Bloomington, MN-WI","House, Apartment, Flat",Not in Universe,"40,000 To 49,999",Associate Deg.-Academic Program,Employed-At Work,Female,Married - Spouse Present,5859.6360,7,5824.9344,0.0000,0.0000,5824.9344,2024,jan
"New York-Newark-Jersey City, NY-NJ-PA","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More",Not in Universe,Not in Universe,Female,Not in Universe,0.0000,5,5955.5309,0.0000,0.0000,5955.5309,2023,jan
0,"House, Apartment, Flat",Not in Universe,"75,000 To 99,999",Associate Degree-Occupational/Vocationl,Employed-At Work,Male,Married - Spouse Present,3601.7784,3,4440.9944,0.0000,0.0000,3632.4710,2024,jan
"Providence-Warwick, RI-MA","House, Apartment, Flat",Rented for cash,"100,000 To 149,999",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Male,Never Married,1283.1588,2,1294.5332,1918.6807,5143.2278,1294.5332,2023,jan
"Bend-Redmond, OR","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More",Some College But No Degree,Employed-At Work,Female,Divorced,2116.6053,3,2104.4503,3150.0780,8647.7995,2104.4503,2022,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"15,000 To 19,999",High School Grad-Diploma Or Equiv (ged),Disabled-Not In Labor Force,Male,Never Married,2914.4232,1,2833.7595,4200.0311,11582.4482,2833.7595,2023,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"60,000 To 74,999",High School Grad-Diploma Or Equiv (ged),Retired-Not In Labor Force,Female,Widowed,1696.1117,3,1698.4557,0.0000,0.0000,1698.4557,2022,jan
"North Port-Sarasota-Bradenton, FL","House, Apartment, Flat",Rented for cash,"30,000 To 34,999",High School Grad-Diploma Or Equiv (ged),Disabled-Not In Labor Force,Female,Married - Spouse Present,4491.7692,2,4695.0594,6964.0830,0.0000,4695.0594,2023,jan
"Florence-Muscle Shoals, AL","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"40,000 To 49,999",High School Grad-Diploma Or Equiv (ged),Retired-Not In Labor Force,Female,Married - Spouse Present,1921.7281,2,1892.2262,2806.6994,0.0000,1892.2262,2023,jan
0,Mobile Home Or Trlr W/No Perm Rm Added,Owned Or Being Bought By A Hh Member,"40,000 To 49,999",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Female,Divorced,3912.1622,5,4006.8213,5943.2339,15705.6997,4006.8213,2023,jan
0,"House, Apartment, Flat",Not in Universe,"150,000 or More",9th Grade,Other-Not In Labor Force,Male,Never Married,2458.2432,5,2582.3777,3827.4556,0.0000,2582.3777,2024,jan
"Macon, GA","House, Apartment, Flat",Not in Universe,"100,000 To 149,999",Not in Universe,Not in Universe,Female,Not in Universe,0.0000,4,5289.5647,0.0000,0.0000,5289.5647,2024,jan
0,"House, Apartment, Flat",Not in Universe,"75,000 To 99,999",High School Grad-Diploma Or Equiv (ged),Retired-Not In Labor Force,Female,Married - Spouse Present,1050.5411,2,1063.6958,1579.5042,0.0000,1063.6958,2024,jan
"Boston-Cambridge-Newton, MA-NH","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"5,000 To 7,499","1st,2nd,3rd Or 4th Grade",Retired-Not In Labor Force,Male,Married - Spouse Present,2573.9590,2,2058.5716,3807.5905,0.0000,2544.4835,2022,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"10,000 To 12,499",High School Grad-Diploma Or Equiv (ged),Retired-Not In Labor Force,Male,Never Married,428.5512,1,428.7011,641.5126,0.0000,428.7011,2022,jan
"Omaha-Council Bluffs, NE-IA","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"60,000 To 74,999",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Female,Divorced,1595.3971,3,1588.1720,0.0000,0.0000,1588.1720,2022,jan
"Las Vegas-Henderson-Paradise, NV","House, Apartment, Flat",Not in Universe,"100,000 To 149,999","Professional School Deg(ex:md,dds,dvm)",Employed-At Work,Female,Never Married,3117.6270,5,3087.3196,4584.4257,0.0000,3087.3196,2024,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"75,000 To 99,999","Bachelor's Degree(ex:ba,ab,bs)",Retired-Not In Labor Force,Female,Married - Spouse Present,779.9954,2,810.2023,1201.7560,0.0000,810.2023,2023,jan
"Greenville, NC","House, Apartment, Flat",Not in Universe,"100,000 To 149,999",11th Grade,Employed-At Work,Female,Married - Spouse Present,6047.3863,3,5953.2308,0.0000,0.0000,5953.2308,2024,jan
"Los Angeles-Long Beach-Anaheim, CA","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"50,000 To 59,999",High School Grad-Diploma Or Equiv (ged),Other-Not In Labor Force,Female,Divorced,3873.7802,2,3935.1253,5836.8887,0.0000,3935.1253,2023,jan
0,"House, Apartment, Flat",Rented for cash,"100,000 To 149,999",Some College But No Degree,Employed-At Work,Female,Never Married,3949.9926,5,4107.5877,6092.6986,0.0000,4107.5877,2023,jan
0,"House, Apartment, Flat",Not in Universe,"100,000 To 149,999",Associate Deg.-Academic Program,Retired-Not In Labor Force,Male,Married - Spouse Present,4342.1694,2,5633.8263,0.0000,0.0000,4395.9355,2024,jan
0,"House, Apartment, Flat",Not in Universe,"35,000 To 39,999",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Male,Never Married,519.3933,1,522.5700,0.0000,0.0000,522.5700,2024,jan
"Minneapolis-St. Paul-Bloomington, MN-WI","House, Apartment, Flat",Not in Universe,"150,000 or More",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Female,Never Married,4797.7218,4,4886.6440,7256.2802,0.0000,4886.6440,2024,jan
"Coeur d'Alene, ID","House, Apartment, Flat",Not in Universe,"12,500 To 14,999",High School Grad-Diploma Or Equiv (ged),Other-Not In Labor Force,Female,Divorced,1144.7579,3,1167.7703,1734.0467,0.0000,1167.7703,2024,jan
"Los Angeles-Long Beach-Anaheim, CA","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999",Some College But No Degree,Employed-At Work,Male,Never Married,3646.0545,5,3742.7326,0.0000,0.0000,3742.7326,2022,jan
"Washington-Arlington-Alexandria, DC-VA-MD-WV","House, Apartment, Flat",Rented for cash,"30,000 To 34,999",Not in Universe,Not in Universe,Male,Not in Universe,0.0000,4,3733.4539,0.0000,0.0000,3733.4539,2022,jan
0,"House, Apartment, Flat",Not in Universe,"10,000 To 12,499",Not in Universe,Not in Universe,Male,Not in Universe,0.0000,4,4669.4576,0.0000,0.0000,4669.4576,2024,jan
"Cleveland-Elyria, OH","House, Apartment, Flat",Not in Universe,"100,000 To 149,999","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Male,Married - Spouse Present,4874.4823,2,5276.7954,7328.2417,0.0000,4944.3520,2024,jan
"Peoria, IL","House, Apartment, Flat",Rented for cash,"30,000 To 34,999",Some College But No Degree,Employed-At Work,Female,Never Married,5084.4574,1,5194.0569,7704.2356,21112.8129,5194.0569,2023,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"7,500 To 9,999",High School Grad-Diploma Or Equiv (ged),Disabled-Not In Labor Force,Female,Separated,2215.5918,2,2086.7491,3095.2312,8730.0986,2086.7491,2023,jan
"Billings, MT","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"50,000 To 59,999","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Female,Never Married,543.6567,2,546.6676,818.2876,0.0000,546.6676,2022,jan
"Houston-The Woodlands-Sugar Land, TX","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Male,Separated,4620.0370,3,4618.6026,6911.3230,0.0000,4618.6026,2022,jan
"Provo-Orem, UT","House, Apartment, Flat",Not in Universe,"100,000 To 149,999","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Male,Never Married,1539.8382,3,1569.3780,0.0000,0.0000,1569.3780,2024,jan
"Los Angeles-Long Beach-Anaheim, CA","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999",Not in Universe,Not in Universe,Female,Not in Universe,0.0000,4,2219.4243,0.0000,0.0000,2219.4243,2023,jan
"New York-Newark-Jersey City, NY-NJ-PA","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"75,000 To 99,999",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Female,Never Married,6073.4293,2,6008.5408,8912.3423,25219.4416,6008.5408,2023,jan
"San Antonio-New Braunfels, TX","House, Apartment, Flat",Rented for cash,"Less Than $5,000",High School Grad-Diploma Or Equiv (ged),Retired-Not In Labor Force,Female,Divorced,3421.2667,2,3398.4116,0.0000,0.0000,3398.4116,2023,jan
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","House, Apartment, Flat",Rented for cash,"20,000 To 24,999","DOCTORATE DEGREE(EX:PhD,EdD)",Employed-Absent,Female,Never Married,631.9113,1,642.0241,952.3008,0.0000,642.0241,2023,jan
"Denver-Aurora-Lakewood, CO","House, Apartment, Flat",Rented for cash,"50,000 To 59,999",Some College But No Degree,Employed-At Work,Male,Never Married,3242.5591,3,3245.2739,4856.2603,0.0000,3245.2739,2022,jan
"York-Hanover, PA","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Female,Married - Spouse Present,4645.0124,2,4611.8761,6903.3559,0.0000,4611.8761,2022,jan
"Hagerstown-Martinsburg, MD-WV","House, Apartment, Flat",Not in Universe,"20,000 To 24,999",5th Or 6th Grade,Retired-Not In Labor Force,Male,Married - Spouse Present,713.4777,2,634.7017,0.0000,0.0000,702.8406,2024,jan
0,"House, Apartment, Flat",Not in Universe,"75,000 To 99,999",High School Grad-Diploma Or Equiv (ged),Disabled-Not In Labor Force,Male,Never Married,4709.8071,4,4597.8992,6814.7487,17459.6317,4597.8992,2024,jan
"Houston-The Woodlands-Sugar Land, TX","House, Apartment, Flat",Not in Universe,"100,000 To 149,999",Not in Universe,Not in Universe,Male,Not in Universe,0.0000,7,8049.5055,0.0000,0.0000,8049.5055,2024,jan
"Orlando-Kissimmee-Sanford, FL","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Female,Never Married,6926.0667,5,6829.9738,10130.7566,28759.9518,6829.9738,2023,jan
"Provo-Orem, UT","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"50,000 To 59,999",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Female,Married - Spouse Present,1674.5444,5,1685.2847,2499.7475,6886.8317,1685.2847,2023,jan
"Houston-The Woodlands-Sugar Land, TX","House, Apartment, Flat",Rented for cash,"50,000 To 59,999",10th Grade,Other-Not In Labor Force,Female,Never Married,0.0000,6,3826.0041,0.0000,0.0000,3826.0041,2022,jan
"Washington-Arlington-Alexandria, DC-VA-MD-WV","House, Apartment, Flat",Not in Universe,"40,000 To 49,999",Not in Universe,Not in Universe,Female,Not in Universe,0.0000,3,463.9316,0.0000,0.0000,463.9316,2024,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"50,000 To 59,999",Some College But No Degree,Retired-Not In Labor Force,Male,Married - Spouse Present,2112.0173,3,1649.3708,0.0000,0.0000,2065.7792,2022,jan
"Atlanta-Sandy Springs-Roswell, GA","House, Apartment, Flat",Not in Universe,"60,000 To 74,999",Some College But No Degree,Retired-Not In Labor Force,Male,Married - Spouse Present,5375.2621,2,4877.4661,0.0000,0.0000,5352.7894,2024,jan
"Los Angeles-Long Beach-Anaheim, CA","House, Apartment, Flat",Rented for cash,"50,000 To 59,999","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Male,Never Married,3593.8741,2,3602.2450,0.0000,0.0000,3602.2450,2022,jan
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999","Bachelor's Degree(ex:ba,ab,bs)",Retired-Not In Labor Force,Female,Divorced,5116.9487,2,5136.8971,0.0000,0.0000,5136.8971,2022,jan
0,"House, Apartment, Flat",Rented for cash,"25,000 To 29,999",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Male,Never Married,2239.2581,1,2203.5800,0.0000,0.0000,2203.5800,2022,jan
0,"House, Apartment, Flat",Not in Universe,"40,000 To 49,999","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Male,Married - Spouse Present,1443.4994,4,1839.9538,0.0000,0.0000,1449.7342,2024,jan
"Atlanta-Sandy Springs-Roswell, GA","House, Apartment, Flat",Not in Universe,"50,000 To 59,999","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Female,Never Married,7863.3889,2,8068.5262,11981.1240,0.0000,8068.5262,2024,jan
"Washington-Arlington-Alexandria, DC-VA-MD-WV","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999","MASTER'S DEGREE(EX:MA,MS,MEng,MEd,MSW)",Employed-At Work,Female,Married - Spouse Present,4304.6411,4,4306.5391,6387.7990,0.0000,4306.5391,2023,jan
"Hickory-Lenoir-Morganton, NC","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"60,000 To 74,999","Bachelor's Degree(ex:ba,ab,bs)",Other-Not In Labor Force,Male,Never Married,3566.7757,3,3739.6865,0.0000,0.0000,3739.6865,2022,jan
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","House, Apartment, Flat",Not in Universe,"150,000 or More",10th Grade,Other-Not In Labor Force,Female,Never Married,0.0000,4,4253.3493,0.0000,0.0000,4253.3493,2024,jan
"Ogden-Clearfield, UT","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"75,000 To 99,999",Not in Universe,Not in Universe,Male,Not in Universe,0.0000,8,1811.8311,0.0000,0.0000,1811.8311,2022,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999","Bachelor's Degree(ex:ba,ab,bs)",Employed-Absent,Female,Married - Spouse Present,687.4796,2,682.3865,0.0000,0.0000,682.3865,2023,jan
"Burlington-South Burlington, VT","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999",10th Grade,Other-Not In Labor Force,Female,Never Married,522.5222,5,514.0547,769.4705,0.0000,514.0547,2022,jan
"New Orleans-Metairie, LA","House, Apartment, Flat",Rented for cash,"25,000 To 29,999",High School Grad-Diploma Or Equiv (ged),Employed-Absent,Male,Widowed,2698.7666,2,2674.4942,4002.1399,10699.4250,2674.4942,2022,jan
"New York-Newark-Jersey City, NY-NJ-PA","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999",5th Or 6th Grade,Disabled-Not In Labor Force,Female,Widowed,3571.8564,3,3521.3724,5223.1778,0.0000,3521.3724,2023,jan
"Memphis, TN-MS-AR","House, Apartment, Flat",Not in Universe,"100,000 To 149,999",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Male,Married - Spouse Present,5362.4045,2,4591.0442,0.0000,0.0000,5291.5345,2024,jan
"Prescott, AZ",Mobile Home Or Trlr W/No Perm Rm Added,Owned Or Being Bought By A Hh Member,"75,000 To 99,999",Not in Universe,Not in Universe,Male,Not in Universe,0.0000,5,4241.3418,0.0000,0.0000,4241.3418,2022,jan
0,"House, Apartment, Flat",Not in Universe,"150,000 or More",12th Grade No Diploma,Employed-At Work,Female,Divorced,651.0368,2,657.3448,976.1051,2734.3892,657.3448,2024,jan
"Burlington-South Burlington, VT","House, Apartment, Flat",Not in Universe,"150,000 or More",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Female,Divorced,526.3113,3,530.3045,787.4602,0.0000,530.3045,2024,jan
"Atlanta-Sandy Springs-Roswell, GA","House, Apartment, Flat",Rented for cash,"75,000 To 99,999",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Male,Never Married,4939.3010,3,4973.7954,7442.8372,0.0000,4973.7954,2022,jan
"Deltona-Daytona Beach-Ormond Beach, FL",Mobile Home Or Trlr W/No Perm Rm Added,Not in Universe,"35,000 To 39,999",9th Grade,Unemployed-On Layoff,Male,Never Married,4576.9773,1,4632.4444,0.0000,0.0000,4632.4444,2024,jan
0,"House, Apartment, Flat",Not in Universe,"40,000 To 49,999",10th Grade,Other-Not In Labor Force,Female,Never Married,6403.9630,3,6090.1201,9043.3472,0.0000,6090.1201,2024,jan
"Baltimore-Columbia-Towson, MD","House, Apartment, Flat",Not in Universe,"150,000 or More",Not in Universe,Not in Universe,Male,Not in Universe,0.0000,6,4460.1268,0.0000,0.0000,4460.1268,2024,jan
"Boston-Cambridge-Newton, MA-NH","House, Apartment, Flat",Rented for cash,"20,000 To 24,999",Some College But No Degree,Retired-Not In Labor Force,Male,Married - Spouse Present,2840.5040,2,2811.1781,4232.7604,11320.5276,2828.6100,2022,jan
"Fargo, ND-MN","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999",Not in Universe,Not in Universe,Male,Not in Universe,0.0000,4,568.7021,0.0000,0.0000,568.7021,2022,jan
"Baton Rouge, LA",Mobile Home Or Trlr W/No Perm Rm Added,Owned Or Being Bought By A Hh Member,"75,000 To 99,999",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Male,Never Married,2910.0762,4,2866.7189,0.0000,0.0000,2866.7189,2022,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999",Not in Universe,Not in Universe,Female,Not in Universe,0.0000,4,550.3941,0.0000,0.0000,550.3941,2023,jan
"New York-Newark-Jersey City, NY-NJ-PA","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999","Bachelor's Degree(ex:ba,ab,bs)",Retired-Not In Labor Force,Female,Married - Spouse Present,3744.8351,2,3730.2427,5532.9906,0.0000,3730.2427,2023,jan
"San Diego-Carlsbad, CA","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Female,Married - Spouse Present,4581.9380,2,4696.8443,7030.5418,0.0000,4696.8443,2022,jan
"Kansas City, MO-KS","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"75,000 To 99,999",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Male,Married - Spouse Present,3208.6197,3,3418.1288,4801.7262,12965.5090,3239.7230,2023,jan
"Santa Maria-Santa Barbara, CA","House, Apartment, Flat",Not in Universe,"150,000 or More",Associate Deg.-Academic Program,Employed-At Work,Female,Never Married,5565.9992,2,5706.1085,0.0000,0.0000,5706.1085,2024,jan
0,"House, Apartment, Flat",Rented for cash,"35,000 To 39,999",Some College But No Degree,Employed-At Work,Female,Separated,5205.5514,4,5261.9490,7876.4273,0.0000,5261.9490,2022,jan
"Daphne-Fairhope-Foley, AL","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"75,000 To 99,999","Bachelor's Degree(ex:ba,ab,bs)",Disabled-Not In Labor Force,Female,Married - Spouse Present,1831.9083,2,1826.5909,2709.3440,0.0000,1826.5909,2023,jan
"Seattle-Tacoma-Bellevue, WA","House, Apartment, Flat",Not in Universe,"150,000 or More",9th Grade,Other-Not In Labor Force,Male,Never Married,0.0000,4,4316.5787,0.0000,0.0000,4316.5787,2024,jan
"Topeka, KS","House, Apartment, Flat",Not in Universe,"7,500 To 9,999",9th Grade,Other-Not In Labor Force,Female,Married - Spouse Present,2023.6129,4,2113.8996,3138.9739,0.0000,2113.8996,2024,jan
"Riverside-San Bernardino-Ontario, CA","House, Apartment, Flat",Not in Universe,"75,000 To 99,999",Some College But No Degree,Employed-At Work,Male,Married - Spouse Present,4126.9497,2,3851.3591,6322.7772,0.0000,4265.9669,2024,jan
"Palm Bay-Melbourne-Titusville, FL","House, Apartment, Flat",Not in Universe,"75,000 To 99,999",Associate Degree-Occupational/Vocationl,Employed-At Work,Male,Never Married,5697.9008,2,5566.8327,8250.8477,22537.3060,5566.8327,2024,jan
